misspell,correct,,,,
abolicion,abolición,,,,
abrirse,abrir,,,,
absolucion,absolución,,,,
abstencion,abstención,,,,
academica,académica,,,,
academicas,académicas,,,,
academico,académico,,,,
academicos,académicos,,,,
accion,acción,,,,
aceptacion,aceptación,,,,
aclaracion,aclaración,,,,
aclaracion,aclaración,,,,
acompañarnos,acompañar,,,,
acordo,acordó,,,,
acotacion,acotación,,,,
acreditacion,acreditación,,,,
activacion,activación,,,,
actuacion,actuación,,,,
actualizacion,actualización,,,,
acuática,acuática,,,,
acuáticas,acuáticas,,,,
acudio,acudir,,,,
acuicola,acuícola,,,,
acuicolas,acuícolas,,,,
acuifero,acuífero,,,,
acuiferos,acuíferos,,,,
acusacion,acusación,,,,
adaptacion,adaptación,,,,
adecuacion,adecuación,,,,
adherirme,adherir,,,,
adhesion,adhesión,,,,
adiccion,adicción,,,,
adicion,adición,,,,
adicionandose,adicionan,,,,
adjudicacion,adjudicación,,,,
administracion,administración,,,,
adopción,adopcion,,,,
adquisicion,adquisición,,,,
adscripcion,adscripción,,,,
aerea,aérea,,,,
aereas,aéreas,,,,
aereo,aéreo,,,,
aereos,aéreos,,,,
afectacion,afectación,,,,
afiliacion,afiliación,,,,
afin,afín,,,,
agradecerle,agradecer,,,,
agradecerles,agradecer,,,,
agradeciéndoles,agradecer,,,,
agregandose,agregar,,,,
agregarle,agregar,,,,
agresion,agresión,,,,
agricola,agrícola,,,,
agricolas,agrícolas,,,,
agrupacion,agrupación,,,,
alcaldia,alcaldía,,,,
alcaldias,alcaldías,,,,
alcoholica,alcohólica,,,,
alcoholicas,alcohólicas,,,,
alcoholico,alcohólico,,,,
alcoholicos,alcohólicos,,,,
alcoholimetro,alcoholímetro,,,,
alcoholimetros,alcoholímetro,,,,
alfabetico,alfabético,,,,
alienacion,alienación,,,,
alimentacion,alimentación,,,,
almacen,almacén,,,,
altruista,altruísta,,,,
altruistas,altruísta,,,,
alusion,alusión,,,,
ambito,ámbito,,,,
ambitos,ámbito,,,,
amnistia,amnistía,,,,
amonestacion,amonestación,,,,
analisis,análisis,,,,
analitica,analítica,,,,
analiticas,analíticas,,,,
analitico,analítico,,,,
analiticos,analíticos,,,,
analogos,análogo,,,,
analogo,análogo,,,,
analogas,análogo,,,,
analoga,análogo,,,,
anomalia,anomalía,,,,
anomalias,anomalía,,,,
antecedio,antecedió,,,,
antelacion,antelación,,,,
anticipacion,anticipación,,,,
anticorrupcion,anticorrupción,,,,
antropologia,antropología,,,,
apelacion,apelación,,,,
aplicacion,aplicación,,,,
aplicarlo,aplicar,,,,
aplicarle,aplicar,,,,
aplicarles,aplicar,,,,
aplicarse,aplicar,,,,
aportacion,aportación,,,,
aprobacion,aprobación,,,,
aprobarse,aprobar,,,,
aprobo,aprobar,,,,
arboles,árbol,,,,
area,área,,,,
areas,áreas,,,,
armonia,armonía,,,,
armonizacion,armonización,,,,
armonizarla,armonizar,,,,
arqueologico,arqueológico,,,,
arqueologicos,arqueológico,,,,
artesania,artesanía,,,,
artesanias,artesanías,,,,
artistica,artística,,,,
artisticas,artísticas,,,,
artistico,artístico,,,,
artisticos,artísticos,,,,
asegurandose,asegurar,,,,
asentandose,asentar,,,,
asesoria,asesoría,,,,
asfaltica,asfáltica,,,,
asignacion,asignación,,,,
asistira,asistir,,,,
asociacion,asociación,,,,
asumio,asumir,,,,
asumiran,asumir,,,,
atencion,atención,,,,
atendera,atender,,,,
atmosfera,atmósfera,,,,
atmosferica,atmosférica,,,,
atribucion,atribución,,,,
auditoria,auditoría,,,,
auditorias,auditorías,,,,
autobus,autobús,,,,
autografa,autógrafa,,,,
autografas,autógrafas,,,,
autografo,autógrafo,,,,
autografos,autógrafos,,,,
automatico,automático,,,,
automaticos,automático,,,,
automovil,automóvil,,,,
automoviles,automóviles,,,,
automovilistico,automovilístico,,,,
automovilisticos,automovilístico,,,,
autonoma,autónoma,,,,
autonomas,autónomas,,,,
autonomia,autonomía,,,,
autonomo,autónomo,,,,
autonomos,autónomos,,,,
autorizacion,autorización,,,,
autorizarse,autorizar,,,,
avaluo,avalúo,,,,
averiguacion,averiguación,,,,
aviacion,aviación,,,,
avion,avión,,,,
bajio,bajío,,,,
baldio,baldío,,,,
baldios,baldío,,,,
basica,básico,,,,
basico,básico,,,,
basicos,básico,,,,
basicas,básico,,,,
batallon,batallón,,,,
beneficas,benéfico,,,,
benefica,benéfico,,,,
benefico,benéfico,,,,
beneficos,benéfico,,,,
benemeritos,benémerito,,,,
benemeritos,benémerito,,,,
bibliografico,bibliográfico,,,,
bibliografica,bibliográfico,,,,
bibliograficos,bibliográfico,,,,
bibliograficas,bibliográfico,,,,
biografia,biografía,,,,
biografias,biografía,,,,
biologica,biológica,,,,
biologicas,biológicas,,,,
biologico,biológico,,,,
biologicos,biológicos,,,,
bitacora,bitácora,,,,
bitacoras,bitácora,,,,
boletin,boletín,,,,
bonificacion,bonificación,,,,
burocratica,burocrática,,,,
burocraticas,burocráticas,,,,
burocratico,burocrático,,,,
burocraticos,burocráticos,,,,
cadaver,cadáver,,,,
cadaveres,cadáver,,,,
cajon,cajón,,,,
calcomania,calcomanía,,,,
calcomanias,calcomanía,,,,
